picture_url,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,room_type_Entire home/apt,room_type_Other,room_type_Private room,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,distance_to_center,beds_per_bedroom,amenity_count,image_downloaded,mos
https://a0.muscache.com/pictures/7acee8ce-fb60-4b5f-80ea-c708c353363b.jpg,3,1.0,1.0,1.0,57.0,30,1125,0,0,True,False,False,False,True,False,False,False,6.265937044164083,1.0,32,True,7.504371554357931
https://a0.muscache.com/pictures/04e2b83f-0d26-40de-b37b-f6557d0c530d.jpg,2,1.0,1.0,1.0,300.0,30,1125,0,0,True,False,False,False,True,False,False,False,3.9513181683540908,1.0,20,True,6.464511366561055
https://a0.muscache.com/pictures/miso/Hosting-933345169834170743/original/6af06d1d-9bc7-4ba2-aa63-00710054a71e.jpeg,10,1.0,3.0,5.0,112.0,30,365,29,269,True,False,False,False,True,False,False,False,6.414491923991903,1.6666666666666667,10,True,6.507625628262758
https://a0.muscache.com/pictures/miso/Hosting-620228228819642772/original/6d54d58d-741b-41c2-98ff-8f5cbfdd6fcc.jpeg,4,2.0,2.0,2.0,700.0,30,365,2,337,True,False,False,False,True,False,False,False,6.35765488588281,1.0,42,True,8.564619183540344
https://a0.muscache.com/pictures/miso/Hosting-802464796859828769/original/47edc315-fe4d-491c-a091-cfbb103e9cf9.jpeg,3,1.0,1.0,1.0,90.0,30,700,0,0,True,False,False,False,False,False,True,False,11.477590794739156,1.0,4,True,5.308498492464423
https://a0.muscache.com/pictures/miso/Hosting-949156482153618517/original/e8ef9323-5e74-4bbc-8a58-08dba9911696.jpeg,1,1.0,1.0,1.0,40.0,60,365,29,364,False,False,True,False,False,False,False,True,10.323709177615525,1.0,42,True,7.565816796850413
https://a0.muscache.com/pictures/0dcc3696-56d9-4e22-95eb-bc56a2c089af.jpg,4,1.0,1.0,1.0,190.0,30,1125,0,0,True,False,False,False,True,False,False,False,6.961941642786033,1.0,28,True,6.262563748285174
https://a0.muscache.com/pictures/miso/Hosting-595503202425068417/original/28f8d7a1-232b-4fdb-ab7e-df51516fe633.jpeg,4,1.0,2.0,2.0,195.0,30,1125,20,355,True,False,False,False,False,True,False,False,9.851141097594036,1.0,39,True,4.920205257833004
https://a0.muscache.com/pictures/miso/Hosting-49716213/original/aaac1ae8-632e-4997-9c5a-6897eed29996.jpeg,6,1.0,2.0,4.0,170.0,30,90,0,297,True,False,False,False,False,False,True,False,24.45399107117548,2.0,49,True,6.942199639976025
https://a0.muscache.com/pictures/miso/Hosting-873993790318497072/original/a418f9ce-b49c-4ebc-b728-7c61bac778fd.jpeg,2,1.0,1.0,1.0,308.0,30,365,30,365,True,False,False,False,False,True,False,False,2.9938301511543672,1.0,5,True,6.590767091140151
https://a0.muscache.com/pictures/0f1629e9-3785-455a-9d22-0481be7e4c0c.jpg,3,1.0,1.0,2.0,132.0,30,31,0,0,True,False,False,False,False,False,True,False,20.31259623692651,2.0,34,True,6.027838923037052
https://a0.muscache.com/pictures/miso/Hosting-899314293384838218/original/492dd803-72da-48d4-a3a9-72b6af19ff0e.jpeg,2,1.0,1.0,1.0,50.0,30,365,7,280,False,False,True,False,False,False,True,False,6.244137525705321,1.0,31,True,6.447774430736899
https://a0.muscache.com/pictures/c44406ad-7875-4395-a4f6-4f58541a1c13.jpg,4,1.0,1.0,2.0,66.0,30,30,29,89,True,False,False,True,False,False,False,False,22.336186997081548,2.0,7,True,6.654394969344139
https://a0.muscache.com/pictures/a654b101-ca0a-47dd-9b02-9aefefdebc3c.jpg,2,1.0,1.0,1.0,54.0,30,200,0,0,False,False,True,False,False,True,False,False,1.5057988771523398,1.0,25,True,6.64740698132664
